input,output,hint,weight,color
bih sio chhōe,匿相尋,,822,
bih sio chhōe,米相尋,,822,
bin,bin,,0,
bio,bio,,0,
bioh,bioh,,0,
biok,biok,,0,
biong,biong,,0,
bio̍h,bio̍h,,0,
bio̍k,bio̍k,,0,
bit,bit,,0,
biu,biu,,0,
biuh,biuh,,0,
biu̍h,biu̍h,,0,
bià,bià,,0,
biàn,biàn,,0,
biàng,biàng,,0,
biàu,biàu,,0,
biá,biá,,0,
bián,bián,,740,
bián,免,,920,
bián,勉,,490,
bián kheh khì,bián kheh-khì,,727,
bián kheh khì,免客氣,,836,
bián kiáng,bián-kiáng,,709,
bián kiáng,勉强,,818,
bián kióng,bián-kióng,,713,
bián kióng,勉强,,822,
bián lē,bián-lē,,700,
bián lē,勉勵,,809,
bián sè jī,bián sè-jī,,713,
bián sè jī,免細二,,822,
bián sè jī,免細貳,,821,
bián sòe jī,bián sòe-jī,,709,
bián sòe jī,免細二,,818,
bián sòe jī,免細貳,,817,
biáng,biáng,,0,
biáu,biáu,,0,
biâ,biâ,,0,
biân,biân,,0,
biân,棉,,86,
biân,眠,,486,
biân,綿,,495,
biân,联,,97,
biân,聯,,506,
biâng,biâng,,0,
biâu,biâu,,0,
biâu,描,,93,
biâu,猫,,71,
biâu,貓,,80,
biâu le̍k,Biâu-le̍k,,713,
biâu le̍k,苗栗,,822,
biâu siá,biâu-siá,,700,
biâu siá,描寫,,809,
biò,biò,,0,
biòng,biòng,,0,
bió,bió,,713,
bió,母,,505,
bió,秒,,848,
bió cheng,bió cheng,,700,
bió cheng,秒鐘,,809,
bióng,bióng,,0,
biô,biô,,0,
biô,描,,93,
biô,謀,,483,
biô siá,biô-siá,,700,
biô siá,描寫,,809,
biông,biông,,0,
biù,biù,,0,
biú,biú,,0,
biû,biû,,0,
biā,biā,,0,
biān,biān,,0,
biān,糆,,90,
biān,面,,499,
biān,麵,,99,
biān,麺,,97,
biāng,biāng,,0,
biāu,biāu,,0,
biāu,妙,,502,
biāu,庙,,84,
biāu,廟,,493,
biă,biă,,0,
biăn,biăn,,0,
biăng,biăng,,0,
biău,biău,,0,
biō,biō,,0,
biō,廟,,293,
biō,茂,,484,
biō,貿,,477,
biō ú,biō-ú,,713,
biō ú,廟宇,,822,
biōng,biōng,,0,
biŏ,biŏ,,0,
biŏng,biŏng,,0,
biū,biū,,0,
biŭ,biŭ,,0,
bi̍h,bi̍h,,0,
bi̍t,bi̍t,,0,
bi̍t,密,,481,
bi̍t,蜜,,486,
bo,bo,,0,
boa,boa,,0,
boah,boah,,713,
boah,抹,,878,
boah hún,boah hún,,713,
boah hún,抹粉,,822,
boah ian chi,boah ian-chi,,713,
boah ian chi,抹胭脂,,822,
boah o͘,boah o͘,,700,
boah o͘,抹烏,,809,
boai,boai,,0,
boaih,boaih,,0,
boaih,bô ài,,700,
boaih,無愛,,860,
boak,boak,,0,
boan,boan,,0,
boang,boang,,0,
boat,boat,,0,
boat,抹,,90,
boa̍h,boa̍h,,0,
boa̍h,䱅,,66,
boa̍h,末,,276,
boa̍h á,boa̍h-á,,700,
boa̍h á,䱅仔,,609,
boa̍ih,boa̍ih,,0,
boa̍k,boa̍k,,0,
boa̍t,boa̍t,,0,
boa̍t,末,,476,
boa̍t ji̍t,boa̍t-ji̍t,,700,
boa̍t ji̍t,末日,,809,
boe,boe,,0,
boeh,boeh,,750,
boeh,卜,,745,
boeh nî,boeh nî,,700,
boeh nî,卜哖,,809,
boeh nî,卜年,,809,
boeh ti̍h,boeh ti̍h,,700,
boeh ti̍h,卜碟,,605,
boeh ti̍hⁿ,boeh ti̍hⁿ,,709,
boeh ti̍hⁿ,卜碟,,614,
boeh ài,boeh ài,,713,
boeh ài,卜愛,,822,
boeh àm á,boeh-àm-á,,700,
boeh àm á,卜暗仔,,609,
boeh án chóaⁿ,boeh án-chóaⁿ,,709,
boeh án chóaⁿ,卜按盞,,618,
boeh óa,boeh óa,,700,
boeh óa,卜倚,,609,
boeh óa boeh óa,boeh óa boeh óa,,700,
boeh óa boeh óa,卜倚卜倚,,609,
boe̍h,boe̍h,,713,
boe̍h,袜,,633,
boe̍h,襪,,634,
boe̍h á,boe̍h-á,,727,
boe̍h á,袜仔,,835,
boe̍h á,襪仔,,836,
boh,boh,,0,
bok,bok,,0,
bok sin guh,bok-sin-guh,,700,
bong,bong,,729,
bong,摸,,884,
boài,boài,,0,
boài,bô ài,,700,
boài,無愛,,860,
boàn,boàn,,0,
boàng,boàng,,0,
boái,boái,,0,
boán,boán,,700,
boán,满,,93,
boán,滿,,835,
boán chiok,boán-chiok,,713,
boán chiok,滿足,,822,
boán chiu,Boán-chiu,,700,
boán chiu,滿州,,809,
boán kîⁿ,boán kîⁿ,,713,
boán kîⁿ,滿墘,,822,
boán ì,boán-ì,,700,
boán ì,滿意,,825,
boáng,boáng,,0,
boâi,boâi,,0,
boân,boân,,0,
boâng,boâng,,0,
boāi,boāi,,0,
boān,boān,,0,
boāng,boāng,,0,
boăi,boăi,,0,
boăi,bô ài,,700,
boăi,無愛,,860,
boăn,boăn,,0,
