input,output,annotation,weight,category
lāu lâng,老人,,999,
lāu tōa lâng,lāu tōa-lâng,,999,
lāu tōa lâng,lāu-tōa-lâng,,999,
lāu tōa lâng,老大人,,999,
lūn,閏,,999,
lūn ge̍h,lūn-ge̍h,,999,
lūn ge̍h,閏月,,999,
lūn goe̍h,lūn-goe̍h,,999,
lūn goe̍h,閏月,,999,
mn̄g,mn̄g,,999,
mn̄g,問,,999,
moâi,moâi,,999,
moâi,糜,,999,
móe,móe,,999,
móe,每,,999,
móe ji̍t,móe ji̍t,,999,
móe ji̍t,每日,,999,
môe,môe,,999,
môe,糜,,999,
múi,múi,,999,
múi,每,,999,
múi ji̍t,múi ji̍t,,999,
múi ji̍t,每日,,999,
mā,mā,,999,
mā,嗎,,999,
m̄,m̄,,999,
m̄,不,,999,
m̄ chiah,m̄ chiah,,999,
m̄ chiah,不即,,999,
m̄ kam,m̄ kam,,999,
m̄ kam,不甘,,999,
nah,nah,,999,
nah,那,,999,
ngô͘,峨,,999,
nn̄g,nn̄g,,999,
nn̄g,二,,999,
ná,ná,,999,
ná,那,,999,
nî,nî,,999,
nî,年,,999,
nā,nā,,999,
nā,若,,999,
nā,那,,999,
nā kah,nā kah,,999,
nā kah,若甲,,999,
nā kah,那甲,,999,
nā kà,nā kah,,999,
nā kà,若甲,,999,
nā kà,那甲,,999,
nō͘,二,,999,
oán,玩,,999,
o͘ mà mà,o͘ mà-mà,,999,
o͘ mà mà,烏嗎嗎,,999,
phe,phe,,999,
phe,批,,999,
phoe,phoe,,999,
phoe,批,,999,
phê ôe,phê-ôe,,999,
phê ôe,皮鞋,,999,
phôe ê,phôe-ê,,999,
phôe ê,皮鞋,,999,
pàng,pàng,,999,
pàng,放,,999,
pâ,琶,,999,
péng,秉,,999,
pê,琶,,999,
pî,枇,,999,
pî,琵,,999,
pî pê,pî-pê,,999,
pî pê,枇杷,,999,
pî pê,琵琶,,999,
saⁿ,saⁿ,,999,
saⁿ,saⁿ-,,999,
saⁿ,三,,999,
